recycler_id,cpcb_registration_id,company_name,registered_address,state,city,latitude,longitude,permitted_capacity_mta,authorization_status,materials_accepted,pickup_available,min_pickup_weight_kg,service_radius_km,total_pickups_booked,total_pickups_completed,cancellation_rate,fulfillment_score,avg_payout_delay_hours,contact_phone
REC_EXC_001,CPCB/EXC/2023/001,M/s. Green Waves Environmental Solution,"Sy. No. 43/1, Mindi (V), Gajuwaka (M), Visakhapatnam District. 480",Andhra Pradesh,Visakhapatnam,15.7874,80.1907,480.0,ACTIVE,"PCB,BATTERY,CABLE",True,50.0,50.0,104,95,0.087,0.915,2.3,+91-9993664919
REC_EXC_002,CPCB/EXC/2023/002,M/s. Apna Bhoomi E-Waste Management Services,"Sy. No. 119, Near Bharat Junction, Kusalapuram (V), Etcherla (M), Srikakulam District. - 532005 300",Andhra Pradesh,Srikakulam,16.0638,79.2964,300.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,30.0,190,170,0.105,0.896,0.5,+91-9199052376
REC_EXC_003,CPCB/EXC/2023/003,M/s. Veera Waste Management Systems,"Plot
No. 42, Block-D Extension, IDA, Autonagar Visakhapatnam District.-530012, 5820",Andhra Pradesh,Visakhapatnam,15.7041,79.8519,5820.0,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,50.0,50.0,219,208,0.05,0.95,1.6,+91-9496917567
REC_EXC_004,CPCB/EXC/2023/004,M/s. Binbag Recycling Services Pvt. Ltd,Anatapur District 300,Andhra Pradesh,Anantapur,15.8797,80.0999,300.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,30.0,30.0,89,82,0.079,0.923,1.4,+91-9519498548
REC_EXC_005,CPCB/EXC/2023/005,M/s. Clean Earth Green Earth Solutions,Krishna District 22.5,Andhra Pradesh,Vijayawada,15.6438,79.481,22.5,ACTIVE,"PCB,BATTERY,CABLE,LCD,CRT,MIXED_PLASTIC",True,50.0,75.0,110,98,0.109,0.893,2.8,+91-9852288765
REC_EXC_006,CPCB/EXC/2023/006,M/s. E-Parisaraa Pvt. Ltd,"Plot No. 42A/4, Sy. No. 285 Part And Sy. No. 288 (P), Gollapuam (V), Hindupuram (M), Annathapuramu Distirct 300 44002.5",Andhra Pradesh,Anantapur,15.933,79.7867,44002.5,ACTIVE,"CRT,MIXED_PLASTIC,METALS",True,30.0,50.0,219,212,0.032,0.968,3.3,+91-9480072391
REC_EXC_007,CPCB/EXC/2023/007,M/s. World Scrap Recycling Solutions (P) Ltd Plot No 50,Chittor District 6900,Andhra Pradesh,Chittoor,15.9833,79.7608,6900.0,ACTIVE,"PCB,CABLE,LCD,MOTORS",True,20.0,50.0,140,134,0.043,0.958,3.4,+91-9559708603
REC_EXC_008,CPCB/EXC/2023/008,M/s World Scrap Recycling Solutions Pvt Ltd.,"Shed No 10 11 12,Chittor District 18000",Andhra Pradesh,Chittoor,15.9556,79.3809,18000.0,ACTIVE,"PCB,BATTERY,CABLE",False,0.0,10.0,100,91,0.09,0.912,1.1,+91-9123717335
REC_EXC_009,CPCB/EXC/2023/009,M/s. Sungeel India Recycling Pvt. Ltd.,"Plot No. 59C & 59D, APIIC Industrial Park, Gollapuram (V), Hindupur (M), Anantapur District-515211 10380",Andhra Pradesh,Anantapur,15.427,79.4388,10380.0,ACTIVE,"PCB,BATTERY,CABLE",True,50.0,30.0,70,67,0.043,0.958,2.4,+91-9447454369
REC_EXC_010,CPCB/EXC/2023/010,M/s. Ramky ARM Recycling Pvt. Ltd.,"Plot No. 84/A & B, Road, No. 20/5, JNPC, Parawada, Visakhapatnam District- 531019 1500",Andhra Pradesh,Visakhapatnam,15.5083,79.6108,1500.0,ACTIVE,"PCB,BATTERY,CABLE",True,30.0,75.0,64,58,0.094,0.909,3.4,+91-9524831618
