material_code,city,as_of,buy_rate_per_kg
MOTHERBOARD_HIGH_GRADE,Delhi,2026-05-01,294.6
POWER_SUPPLY_LOW_GRADE,Delhi,2026-05-01,44.6
COPPER_HEAVY_INSULATED,Delhi,2026-05-01,434.6
ALUMINIUM_WIRE,Delhi,2026-05-01,109.6
LEad_ACID,Delhi,2026-05-01,84.6
BATTERY_LITHIUM_PORTABLE,Delhi,2026-05-01,124.6
LCD_PANEL_INTACT,Delhi,2026-05-01,154.6
CRT_MONITOR,Delhi,2026-05-01,14.6
MIXED_EWASTE_CASING,Delhi,2026-05-01,14.6
MOTHERBOARD_HIGH_GRADE,Mumbai,2026-05-01,299.6
POWER_SUPPLY_LOW_GRADE,Mumbai,2026-05-01,49.6
COPPER_HEAVY_INSULATED,Mumbai,2026-05-01,439.6
ALUMINIUM_WIRE,Mumbai,2026-05-01,114.6
LEad_ACID,Mumbai,2026-05-01,89.6
BATTERY_LITHIUM_PORTABLE,Mumbai,2026-05-01,129.6
LCD_PANEL_INTACT,Mumbai,2026-05-01,159.6
CRT_MONITOR,Mumbai,2026-05-01,19.6
MIXED_EWASTE_CASING,Mumbai,2026-05-01,19.6
MOTHERBOARD_HIGH_GRADE,Pune,2026-05-01,305.6
POWER_SUPPLY_LOW_GRADE,Pune,2026-05-01,55.6
COPPER_HEAVY_INSULATED,Pune,2026-05-01,445.6
ALUMINIUM_WIRE,Pune,2026-05-01,120.6
LEad_ACID,Pune,2026-05-01,95.6
BATTERY_LITHIUM_PORTABLE,Pune,2026-05-01,135.6
LCD_PANEL_INTACT,Pune,2026-05-01,165.6
CRT_MONITOR,Pune,2026-05-01,25.6
MIXED_EWASTE_CASING,Pune,2026-05-01,25.6
MOTHERBOARD_HIGH_GRADE,Nagpur,2026-05-01,300.6
POWER_SUPPLY_LOW_GRADE,Nagpur,2026-05-01,50.6
COPPER_HEAVY_INSULATED,Nagpur,2026-05-01,440.6
ALUMINIUM_WIRE,Nagpur,2026-05-01,115.6
LEad_ACID,Nagpur,2026-05-01,90.6
BATTERY_LITHIUM_PORTABLE,Nagpur,2026-05-01,130.6
LCD_PANEL_INTACT,Nagpur,2026-05-01,160.6
CRT_MONITOR,Nagpur,2026-05-01,20.6
MIXED_EWASTE_CASING,Nagpur,2026-05-01,20.6
MOTHERBOARD_HIGH_GRADE,Bengaluru,2026-05-01,306.6
POWER_SUPPLY_LOW_GRADE,Bengaluru,2026-05-01,56.6
COPPER_HEAVY_INSULATED,Bengaluru,2026-05-01,446.6
ALUMINIUM_WIRE,Bengaluru,2026-05-01,121.6
LEad_ACID,Bengaluru,2026-05-01,96.6
BATTERY_LITHIUM_PORTABLE,Bengaluru,2026-05-01,136.6
LCD_PANEL_INTACT,Bengaluru,2026-05-01,166.6
CRT_MONITOR,Bengaluru,2026-05-01,26.6
MIXED_EWASTE_CASING,Bengaluru,2026-05-01,26.6
MOTHERBOARD_HIGH_GRADE,Mysuru,2026-05-01,299.6
POWER_SUPPLY_LOW_GRADE,Mysuru,2026-05-01,49.6
COPPER_HEAVY_INSULATED,Mysuru,2026-05-01,439.6
ALUMINIUM_WIRE,Mysuru,2026-05-01,114.6
LEad_ACID,Mysuru,2026-05-01,89.6
BATTERY_LITHIUM_PORTABLE,Mysuru,2026-05-01,129.6
LCD_PANEL_INTACT,Mysuru,2026-05-01,159.6
CRT_MONITOR,Mysuru,2026-05-01,19.6
MIXED_EWASTE_CASING,Mysuru,2026-05-01,19.6
MOTHERBOARD_HIGH_GRADE,Chennai,2026-05-01,307.6
POWER_SUPPLY_LOW_GRADE,Chennai,2026-05-01,57.6
COPPER_HEAVY_INSULATED,Chennai,2026-05-01,447.6
ALUMINIUM_WIRE,Chennai,2026-05-01,122.6
LEad_ACID,Chennai,2026-05-01,97.6
BATTERY_LITHIUM_PORTABLE,Chennai,2026-05-01,137.6
LCD_PANEL_INTACT,Chennai,2026-05-01,167.6
CRT_MONITOR,Chennai,2026-05-01,27.6
MIXED_EWASTE_CASING,Chennai,2026-05-01,27.6
MOTHERBOARD_HIGH_GRADE,Coimbatore,2026-05-01,303.6
POWER_SUPPLY_LOW_GRADE,Coimbatore,2026-05-01,53.6
COPPER_HEAVY_INSULATED,Coimbatore,2026-05-01,443.6
ALUMINIUM_WIRE,Coimbatore,2026-05-01,118.6
LEad_ACID,Coimbatore,2026-05-01,93.6
BATTERY_LITHIUM_PORTABLE,Coimbatore,2026-05-01,133.6
LCD_PANEL_INTACT,Coimbatore,2026-05-01,163.6
CRT_MONITOR,Coimbatore,2026-05-01,23.6
MIXED_EWASTE_CASING,Coimbatore,2026-05-01,23.6
MOTHERBOARD_HIGH_GRADE,Hyderabad,2026-05-01,296.6
POWER_SUPPLY_LOW_GRADE,Hyderabad,2026-05-01,46.6
COPPER_HEAVY_INSULATED,Hyderabad,2026-05-01,436.6
ALUMINIUM_WIRE,Hyderabad,2026-05-01,111.6
LEad_ACID,Hyderabad,2026-05-01,86.6
BATTERY_LITHIUM_PORTABLE,Hyderabad,2026-05-01,126.6
LCD_PANEL_INTACT,Hyderabad,2026-05-01,156.6
CRT_MONITOR,Hyderabad,2026-05-01,16.6
MIXED_EWASTE_CASING,Hyderabad,2026-05-01,16.6
MOTHERBOARD_HIGH_GRADE,Ahmedabad,2026-05-01,303.6
POWER_SUPPLY_LOW_GRADE,Ahmedabad,2026-05-01,53.6
COPPER_HEAVY_INSULATED,Ahmedabad,2026-05-01,443.6
ALUMINIUM_WIRE,Ahmedabad,2026-05-01,118.6
LEad_ACID,Ahmedabad,2026-05-01,93.6
BATTERY_LITHIUM_PORTABLE,Ahmedabad,2026-05-01,133.6
LCD_PANEL_INTACT,Ahmedabad,2026-05-01,163.6
CRT_MONITOR,Ahmedabad,2026-05-01,23.6
MIXED_EWASTE_CASING,Ahmedabad,2026-05-01,23.6
MOTHERBOARD_HIGH_GRADE,Surat,2026-05-01,301.6
POWER_SUPPLY_LOW_GRADE,Surat,2026-05-01,51.6
COPPER_HEAVY_INSULATED,Surat,2026-05-01,441.6
ALUMINIUM_WIRE,Surat,2026-05-01,116.6
LEad_ACID,Surat,2026-05-01,91.6
BATTERY_LITHIUM_PORTABLE,Surat,2026-05-01,131.6
LCD_PANEL_INTACT,Surat,2026-05-01,161.6
CRT_MONITOR,Surat,2026-05-01,21.6
MIXED_EWASTE_CASING,Surat,2026-05-01,21.6
MOTHERBOARD_HIGH_GRADE,Kolkata,2026-05-01,304.6
POWER_SUPPLY_LOW_GRADE,Kolkata,2026-05-01,54.6
COPPER_HEAVY_INSULATED,Kolkata,2026-05-01,444.6
ALUMINIUM_WIRE,Kolkata,2026-05-01,119.6
LEad_ACID,Kolkata,2026-05-01,94.6
BATTERY_LITHIUM_PORTABLE,Kolkata,2026-05-01,134.6
LCD_PANEL_INTACT,Kolkata,2026-05-01,164.6
CRT_MONITOR,Kolkata,2026-05-01,24.6
MIXED_EWASTE_CASING,Kolkata,2026-05-01,24.6
MOTHERBOARD_HIGH_GRADE,Lucknow,2026-05-01,302.6
POWER_SUPPLY_LOW_GRADE,Lucknow,2026-05-01,52.6
COPPER_HEAVY_INSULATED,Lucknow,2026-05-01,442.6
ALUMINIUM_WIRE,Lucknow,2026-05-01,117.6
LEad_ACID,Lucknow,2026-05-01,92.6
BATTERY_LITHIUM_PORTABLE,Lucknow,2026-05-01,132.6
LCD_PANEL_INTACT,Lucknow,2026-05-01,162.6
CRT_MONITOR,Lucknow,2026-05-01,22.6
MIXED_EWASTE_CASING,Lucknow,2026-05-01,22.6
MOTHERBOARD_HIGH_GRADE,Noida,2026-05-01,299.6
POWER_SUPPLY_LOW_GRADE,Noida,2026-05-01,49.6
COPPER_HEAVY_INSULATED,Noida,2026-05-01,439.6
ALUMINIUM_WIRE,Noida,2026-05-01,114.6
LEad_ACID,Noida,2026-05-01,89.6
BATTERY_LITHIUM_PORTABLE,Noida,2026-05-01,129.6
LCD_PANEL_INTACT,Noida,2026-05-01,159.6
CRT_MONITOR,Noida,2026-05-01,19.6
MIXED_EWASTE_CASING,Noida,2026-05-01,19.6
MOTHERBOARD_HIGH_GRADE,Kanpur,2026-05-01,300.6
POWER_SUPPLY_LOW_GRADE,Kanpur,2026-05-01,50.6
COPPER_HEAVY_INSULATED,Kanpur,2026-05-01,440.6
ALUMINIUM_WIRE,Kanpur,2026-05-01,115.6
LEad_ACID,Kanpur,2026-05-01,90.6
BATTERY_LITHIUM_PORTABLE,Kanpur,2026-05-01,130.6
LCD_PANEL_INTACT,Kanpur,2026-05-01,160.6
CRT_MONITOR,Kanpur,2026-05-01,20.6
MIXED_EWASTE_CASING,Kanpur,2026-05-01,20.6
MOTHERBOARD_HIGH_GRADE,Bhubaneswar,2026-05-01,304.6
POWER_SUPPLY_LOW_GRADE,Bhubaneswar,2026-05-01,54.6
COPPER_HEAVY_INSULATED,Bhubaneswar,2026-05-01,444.6
ALUMINIUM_WIRE,Bhubaneswar,2026-05-01,119.6
LEad_ACID,Bhubaneswar,2026-05-01,94.6
BATTERY_LITHIUM_PORTABLE,Bhubaneswar,2026-05-01,134.6
LCD_PANEL_INTACT,Bhubaneswar,2026-05-01,164.6
CRT_MONITOR,Bhubaneswar,2026-05-01,24.6
MIXED_EWASTE_CASING,Bhubaneswar,2026-05-01,24.6
MOTHERBOARD_HIGH_GRADE,Cuttack,2026-05-01,304.6
POWER_SUPPLY_LOW_GRADE,Cuttack,2026-05-01,54.6
COPPER_HEAVY_INSULATED,Cuttack,2026-05-01,444.6
ALUMINIUM_WIRE,Cuttack,2026-05-01,119.6
LEad_ACID,Cuttack,2026-05-01,94.6
BATTERY_LITHIUM_PORTABLE,Cuttack,2026-05-01,134.6
LCD_PANEL_INTACT,Cuttack,2026-05-01,164.6
CRT_MONITOR,Cuttack,2026-05-01,24.6
MIXED_EWASTE_CASING,Cuttack,2026-05-01,24.6
MOTHERBOARD_HIGH_GRADE,Patna,2026-05-01,295.6
POWER_SUPPLY_LOW_GRADE,Patna,2026-05-01,45.6
COPPER_HEAVY_INSULATED,Patna,2026-05-01,435.6
ALUMINIUM_WIRE,Patna,2026-05-01,110.6
LEad_ACID,Patna,2026-05-01,85.6
BATTERY_LITHIUM_PORTABLE,Patna,2026-05-01,125.6
LCD_PANEL_INTACT,Patna,2026-05-01,155.6
CRT_MONITOR,Patna,2026-05-01,15.6
MIXED_EWASTE_CASING,Patna,2026-05-01,15.6
MOTHERBOARD_HIGH_GRADE,Jaipur,2026-05-01,299.6
POWER_SUPPLY_LOW_GRADE,Jaipur,2026-05-01,49.6
COPPER_HEAVY_INSULATED,Jaipur,2026-05-01,439.6
ALUMINIUM_WIRE,Jaipur,2026-05-01,114.6
LEad_ACID,Jaipur,2026-05-01,89.6
BATTERY_LITHIUM_PORTABLE,Jaipur,2026-05-01,129.6
LCD_PANEL_INTACT,Jaipur,2026-05-01,159.6
CRT_MONITOR,Jaipur,2026-05-01,19.6
MIXED_EWASTE_CASING,Jaipur,2026-05-01,19.6
MOTHERBOARD_HIGH_GRADE,Jodhpur,2026-05-01,304.6
POWER_SUPPLY_LOW_GRADE,Jodhpur,2026-05-01,54.6
COPPER_HEAVY_INSULATED,Jodhpur,2026-05-01,444.6
ALUMINIUM_WIRE,Jodhpur,2026-05-01,119.6
LEad_ACID,Jodhpur,2026-05-01,94.6
BATTERY_LITHIUM_PORTABLE,Jodhpur,2026-05-01,134.6
LCD_PANEL_INTACT,Jodhpur,2026-05-01,164.6
CRT_MONITOR,Jodhpur,2026-05-01,24.6
MIXED_EWASTE_CASING,Jodhpur,2026-05-01,24.6
MOTHERBOARD_HIGH_GRADE,Bhopal,2026-05-01,296.6
POWER_SUPPLY_LOW_GRADE,Bhopal,2026-05-01,46.6
COPPER_HEAVY_INSULATED,Bhopal,2026-05-01,436.6
ALUMINIUM_WIRE,Bhopal,2026-05-01,111.6
LEad_ACID,Bhopal,2026-05-01,86.6
BATTERY_LITHIUM_PORTABLE,Bhopal,2026-05-01,126.6
LCD_PANEL_INTACT,Bhopal,2026-05-01,156.6
CRT_MONITOR,Bhopal,2026-05-01,16.6
MIXED_EWASTE_CASING,Bhopal,2026-05-01,16.6
MOTHERBOARD_HIGH_GRADE,Indore,2026-05-01,297.6
POWER_SUPPLY_LOW_GRADE,Indore,2026-05-01,47.6
COPPER_HEAVY_INSULATED,Indore,2026-05-01,437.6
ALUMINIUM_WIRE,Indore,2026-05-01,112.6
LEad_ACID,Indore,2026-05-01,87.6
BATTERY_LITHIUM_PORTABLE,Indore,2026-05-01,127.6
LCD_PANEL_INTACT,Indore,2026-05-01,157.6
CRT_MONITOR,Indore,2026-05-01,17.6
MIXED_EWASTE_CASING,Indore,2026-05-01,17.6
MOTHERBOARD_HIGH_GRADE,Chandigarh,2026-05-01,297.6
POWER_SUPPLY_LOW_GRADE,Chandigarh,2026-05-01,47.6
COPPER_HEAVY_INSULATED,Chandigarh,2026-05-01,437.6
