material_code,city,state,buy_rate_per_kg,min_rate,max_rate,source,updated_at
MOTHERBOARD_HIGH_GRADE,Delhi,Delhi,286.89,252.46,329.92,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Delhi,Delhi,36.89,32.46,42.42,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Delhi,Delhi,426.89,375.66,490.92,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Delhi,Delhi,101.89,89.66,117.17,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Delhi,Delhi,76.89,67.66,88.42,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Delhi,Delhi,116.89,102.86,134.42,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Delhi,Delhi,146.89,129.26,168.92,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Delhi,Delhi,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Delhi,Delhi,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Mumbai,Maharashtra,291.89,256.86,335.67,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Mumbai,Maharashtra,41.89,36.86,48.17,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Mumbai,Maharashtra,431.89,380.06,496.67,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Mumbai,Maharashtra,106.89,94.06,122.92,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Mumbai,Maharashtra,81.89,72.06,94.17,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Mumbai,Maharashtra,121.89,107.26,140.17,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Mumbai,Maharashtra,151.89,133.66,174.67,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Mumbai,Maharashtra,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Mumbai,Maharashtra,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Pune,Maharashtra,297.89,262.14,342.57,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Pune,Maharashtra,47.89,42.14,55.07,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Pune,Maharashtra,437.89,385.34,503.57,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Pune,Maharashtra,112.89,99.34,129.82,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Pune,Maharashtra,87.89,77.34,101.07,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Pune,Maharashtra,127.89,112.54,147.07,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Pune,Maharashtra,157.89,138.94,181.57,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Pune,Maharashtra,17.89,15.74,20.57,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Pune,Maharashtra,17.89,15.74,20.57,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Nagpur,Maharashtra,292.89,257.74,336.82,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Nagpur,Maharashtra,42.89,37.74,49.32,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Nagpur,Maharashtra,432.89,380.94,497.82,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Nagpur,Maharashtra,107.89,94.94,124.07,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Nagpur,Maharashtra,82.89,72.94,95.32,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Nagpur,Maharashtra,122.89,108.14,141.32,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Nagpur,Maharashtra,152.89,134.54,175.82,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Nagpur,Maharashtra,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Nagpur,Maharashtra,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Bengaluru,Karnataka,298.89,263.02,343.72,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Bengaluru,Karnataka,48.89,43.02,56.22,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Bengaluru,Karnataka,438.89,386.22,504.72,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Bengaluru,Karnataka,113.89,100.22,130.97,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Bengaluru,Karnataka,88.89,78.22,102.22,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Bengaluru,Karnataka,128.89,113.42,148.22,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Bengaluru,Karnataka,158.89,139.82,182.72,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Bengaluru,Karnataka,18.89,16.62,21.72,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Bengaluru,Karnataka,18.89,16.62,21.72,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Mysuru,Karnataka,291.89,256.86,335.67,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Mysuru,Karnataka,41.89,36.86,48.17,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Mysuru,Karnataka,431.89,380.06,496.67,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Mysuru,Karnataka,106.89,94.06,122.92,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Mysuru,Karnataka,81.89,72.06,94.17,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Mysuru,Karnataka,121.89,107.26,140.17,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Mysuru,Karnataka,151.89,133.66,174.67,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Mysuru,Karnataka,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Mysuru,Karnataka,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Chennai,Tamil Nadu,299.89,263.9,344.87,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Chennai,Tamil Nadu,49.89,43.9,57.37,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Chennai,Tamil Nadu,439.89,387.1,505.87,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Chennai,Tamil Nadu,114.89,101.1,132.12,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Chennai,Tamil Nadu,89.89,79.1,103.37,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Chennai,Tamil Nadu,129.89,114.3,149.37,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Chennai,Tamil Nadu,159.89,140.7,183.87,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Chennai,Tamil Nadu,19.89,17.5,22.87,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Chennai,Tamil Nadu,19.89,17.5,22.87,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Coimbatore,Tamil Nadu,295.89,260.38,340.27,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Coimbatore,Tamil Nadu,45.89,40.38,52.77,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Coimbatore,Tamil Nadu,435.89,383.58,501.27,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Coimbatore,Tamil Nadu,110.89,97.58,127.52,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Coimbatore,Tamil Nadu,85.89,75.58,98.77,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Coimbatore,Tamil Nadu,125.89,110.78,144.77,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Coimbatore,Tamil Nadu,155.89,137.18,179.27,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Coimbatore,Tamil Nadu,15.89,13.98,18.27,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Coimbatore,Tamil Nadu,15.89,13.98,18.27,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Hyderabad,Telangana,288.89,254.22,332.22,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Hyderabad,Telangana,38.89,34.22,44.72,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Hyderabad,Telangana,428.89,377.42,493.22,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Hyderabad,Telangana,103.89,91.42,119.47,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Hyderabad,Telangana,78.89,69.42,90.72,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Hyderabad,Telangana,118.89,104.62,136.72,cpcb-national-mandi-index,2026-09-22 02:17:50
LCD_PANEL_INTACT,Hyderabad,Telangana,148.89,131.02,171.22,cpcb-national-mandi-index,2026-09-22 02:17:50
CRT_MONITOR,Hyderabad,Telangana,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MIXED_EWASTE_CASING,Hyderabad,Telangana,14.0,12.32,16.1,cpcb-national-mandi-index,2026-09-22 02:17:50
MOTHERBOARD_HIGH_GRADE,Ahmedabad,Gujarat,295.89,260.38,340.27,cpcb-national-mandi-index,2026-09-22 02:17:50
POWER_SUPPLY_LOW_GRADE,Ahmedabad,Gujarat,45.89,40.38,52.77,cpcb-national-mandi-index,2026-09-22 02:17:50
COPPER_HEAVY_INSULATED,Ahmedabad,Gujarat,435.89,383.58,501.27,cpcb-national-mandi-index,2026-09-22 02:17:50
ALUMINIUM_WIRE,Ahmedabad,Gujarat,110.89,97.58,127.52,cpcb-national-mandi-index,2026-09-22 02:17:50
LEad_ACID,Ahmedabad,Gujarat,85.89,75.58,98.77,cpcb-national-mandi-index,2026-09-22 02:17:50
BATTERY_LITHIUM_PORTABLE,Ahmedabad,Gujarat,125.89,110.78,144.77,cpcb-national-mandi-index,2026-09-22 02:17:50
