price_id,date,material_category,sub_category,location_cluster,mandi_buying_price,recycler_offered_price,unit,market_range_min,market_range_max
PRC_00001,2026-05-01,PCB,MOTHERBOARD_HIGH_GRADE,Delhi-Mayapuri Cluster,280.75,320.82,KG,252.68,352.9
PRC_00002,2026-05-01,PCB,POWER_SUPPLY_LOW_GRADE,Delhi-Mayapuri Cluster,45.75,60.82,KG,41.18,66.9
PRC_00003,2026-05-01,CABLE,COPPER_HEAVY_INSULATED,Delhi-Mayapuri Cluster,420.75,470.82,KG,378.68,517.9
PRC_00004,2026-05-01,CABLE,ALUMINIUM_WIRE,Delhi-Mayapuri Cluster,110.75,135.82,KG,99.68,149.4
PRC_00005,2026-05-01,BATTERY,LEAD_ACID,Delhi-Mayapuri Cluster,85.75,102.82,KG,77.18,113.1
PRC_00006,2026-05-01,BATTERY,BATTERY_LITHIUM_PORTABLE,Delhi-Mayapuri Cluster,120.75,150.82,KG,108.68,165.9
PRC_00007,2026-05-01,DISPLAY,LCD_PANEL_INTACT,Delhi-Mayapuri Cluster,150.75,210.82,PIECE,135.68,231.9
PRC_00008,2026-05-01,DISPLAY,CRT_MONITOR,Delhi-Mayapuri Cluster,60.75,90.82,PIECE,54.68,99.9
PRC_00009,2026-05-01,PLASTIC,MIXED_EWASTE_CASING,Delhi-Mayapuri Cluster,18.75,26.82,KG,16.88,29.5
PRC_00010,2026-05-01,PCB,MOTHERBOARD_HIGH_GRADE,Mumbai-Dharavi Cluster,280.75,320.82,KG,252.68,352.9
PRC_00011,2026-05-01,PCB,POWER_SUPPLY_LOW_GRADE,Mumbai-Dharavi Cluster,45.75,60.82,KG,41.18,66.9
PRC_00012,2026-05-01,CABLE,COPPER_HEAVY_INSULATED,Mumbai-Dharavi Cluster,420.75,470.82,KG,378.68,517.9
PRC_00013,2026-05-01,CABLE,ALUMINIUM_WIRE,Mumbai-Dharavi Cluster,110.75,135.82,KG,99.68,149.4
PRC_00014,2026-05-01,BATTERY,LEAD_ACID,Mumbai-Dharavi Cluster,85.75,102.82,KG,77.18,113.1
PRC_00015,2026-05-01,BATTERY,BATTERY_LITHIUM_PORTABLE,Mumbai-Dharavi Cluster,120.75,150.82,KG,108.68,165.9
PRC_00016,2026-05-01,DISPLAY,LCD_PANEL_INTACT,Mumbai-Dharavi Cluster,150.75,210.82,PIECE,135.68,231.9
PRC_00017,2026-05-01,DISPLAY,CRT_MONITOR,Mumbai-Dharavi Cluster,60.75,90.82,PIECE,54.68,99.9
PRC_00018,2026-05-01,PLASTIC,MIXED_EWASTE_CASING,Mumbai-Dharavi Cluster,18.75,26.82,KG,16.88,29.5
PRC_00019,2026-05-01,PCB,MOTHERBOARD_HIGH_GRADE,Bengaluru-Peenya Cluster,280.75,320.82,KG,252.68,352.9
PRC_00020,2026-05-01,PCB,POWER_SUPPLY_LOW_GRADE,Bengaluru-Peenya Cluster,45.75,60.82,KG,41.18,66.9
PRC_00021,2026-05-01,CABLE,COPPER_HEAVY_INSULATED,Bengaluru-Peenya Cluster,420.75,470.82,KG,378.68,517.9
PRC_00022,2026-05-01,CABLE,ALUMINIUM_WIRE,Bengaluru-Peenya Cluster,110.75,135.82,KG,99.68,149.4
PRC_00023,2026-05-01,BATTERY,LEAD_ACID,Bengaluru-Peenya Cluster,85.75,102.82,KG,77.18,113.1
PRC_00024,2026-05-01,BATTERY,BATTERY_LITHIUM_PORTABLE,Bengaluru-Peenya Cluster,120.75,150.82,KG,108.68,165.9
PRC_00025,2026-05-01,DISPLAY,LCD_PANEL_INTACT,Bengaluru-Peenya Cluster,150.75,210.82,PIECE,135.68,231.9
PRC_00026,2026-05-01,DISPLAY,CRT_MONITOR,Bengaluru-Peenya Cluster,60.75,90.82,PIECE,54.68,99.9
PRC_00027,2026-05-01,PLASTIC,MIXED_EWASTE_CASING,Bengaluru-Peenya Cluster,18.75,26.82,KG,16.88,29.5
PRC_00028,2026-05-01,PCB,MOTHERBOARD_HIGH_GRADE,Bhubaneswar-Cuttack Cluster,280.75,320.82,KG,252.68,352.9
PRC_00029,2026-05-01,PCB,POWER_SUPPLY_LOW_GRADE,Bhubaneswar-Cuttack Cluster,45.75,60.82,KG,41.18,66.9
PRC_00030,2026-05-01,CABLE,COPPER_HEAVY_INSULATED,Bhubaneswar-Cuttack Cluster,420.75,470.82,KG,378.68,517.9
